#,Song,Artist,Popularity,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Tempo,Key,Camelot,Time Signature,Added At,Spotify Track Id
246,Loving Is Easy,"Rex Orange County,Benny Sings",78,"bedroom pop, pop, dutch pop, indie soul","Pop, R&B",Loving Is Easy,2017-10-11,2:35,76,61,22,0,54,5,10,-8,117,D#/E♭ Major,5B,4,2022-02-11,5EYi2rH4LYs6M21ZLOyQTx
247,Cigarette Daydreams,Cage The Elephant,1,"modern rock, punk blues, rock","Rock, Blues",Melophobia,2013-10-04,3:28,64,67,8,0,30,3,8,-3,114,D Major,10B,4,2022-02-11,6EThJr4Dq1Y93JspecGU2F
248,no song without you,HONNE,62,"pop, uk pop",Pop,no song without you,2020-06-12,2:41,78,46,46,58,82,4,11,-13,105,C Major,8B,4,2022-02-11,3KKUf8F2hktFscLgbH4YwR
249,It's Not The Same Anymore,Rex Orange County,74,"bedroom pop, pop",Pop,Pony,2019-10-25,6:26,67,32,87,0,36,3,11,-11,118,F Major,7B,4,2022-02-11,7vRia9rlEuTDQxkfXIKySi
250,Build Me Up Buttercup - Mono,The Foundations,76,"brill building pop, bubblegum pop, motown, rock-and-roll, soul","Pop, R&B, Rock",The Foundations,1968-01-01,2:57,66,51,32,0,86,3,28,-7,134,C Major,8B,4,2022-02-11,6sPOmDulFtLzfX25zICNrC
251,1980s Horror Film II,Wallows,64,"indie pop, modern rock, pop","Rock, Pop",1980s Horror Film II,2018-10-11,3:55,59,66,0,1,27,3,8,-5,116,D Major,10B,4,2022-02-11,3VzULnaqPKf1deQyZ5W4Ah
252,Magic In The Hamptons (feat. Lil Yachty),"Social House,Lil Yachty",77,"atl hip hop, hip hop, melodic rap, rap, trap, underground hip hop, viral rap",Hip Hop,Magic In The Hamptons (feat. Lil Yachty),2018-06-08,2:44,77,48,66,0,80,4,9,-5,96,C♯/D♭ Major,3B,4,2022-02-11,2Yer0p7uB2lVBUAtANuuQp
253,There Are Worse Things I Could Do - From “Grease”,Stockard Channing,57,hollywood,Easy listening,Grease (The Original Motion Picture Soundtrack),1978-04-04,2:23,49,25,86,0,16,3,10,-14,101,G Major,9B,3,2022-02-11,0pDB9JmbZxupqmZuuevxjS
254,Be Around Me,Will Joseph Cook,55,"indie pop, kent indie, modern alternative pop",Rock,Be Around Me,2020-09-09,3:01,75,70,8,0,81,6,44,-5,82,E Major,12B,4,2022-02-11,5MzNoRzcRrXH6kDtwnEAJD
255,Happiness,Rex Orange County,74,"bedroom pop, pop",Pop,Apricot Princess,2017-04-26,4:39,40,24,73,0,20,3,16,-10,106,F Major,7B,3,2022-02-11,2rXVtoLBHuXcNB5DVfIc9p
